"species.code","obs","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8","RC9","RC10","sum"
"NOPA","playback",0,0,0,0,0,0,0,0,0,1,1
"OSPR","playback",1,0,0,0,0,1,0,0,0,0,2
"OVEN","playback",0,1,1,1,0,1,1,1,0,1,7
"PAWA","playback",0,0,0,1,0,0,0,0,0,0,1
"PISI","playback",1,1,1,0,1,0,0,0,0,1,5
"PIWA","playback",0,0,0,0,0,0,0,0,0,0,0
"PIWO","playback",0,0,0,1,0,0,0,1,0,0,2
"PUFI","playback",1,1,0,0,0,0,0,1,0,0,3
"RBNU","playback",1,1,1,1,0,0,0,1,0,1,6
"RECR","playback",0,1,0,0,0,0,0,0,0,0,1
"REVI","playback",0,1,1,1,1,0,0,1,1,1,7
"RTHA","playback",0,0,0,0,0,0,0,0,0,0,0
"RWBL","playback",0,0,0,0,0,0,0,0,0,0,0
"SOSP","playback",0,0,0,0,1,0,0,0,0,0,1
"SWSP","playback",0,0,0,0,0,0,0,0,0,0,0
"SWTH","playback",0,0,0,1,1,0,0,0,0,0,2
"WOTH","playback",0,0,0,0,0,0,0,0,0,0,0
"WTSP","playback",1,1,0,1,1,0,1,0,0,0,5
"WWCR","playback",0,0,0,0,0,1,0,0,0,0,1
"YEWA","playback",0,0,0,0,0,0,0,0,0,0,0
"YRWA","playback",1,1,1,1,1,1,0,1,1,1,9
