"date","observer.initials","obs.method","device","point.number","time","sky","wind","noise","temp","species.code","count.number","type.a.v","distance.50.u.o","notes","correct.id"
2023-07-20,"ZHK","merlin","iPhone 14","RC1","10:34",0,0,1,72,"WTSP",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC1","10:34",0,0,1,72,"YRWA",1,"a",NA,"audio files","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC1","10:34",0,0,1,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC1","10:34",0,0,1,72,"HETH",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC1","10:34",0,0,1,72,"WTSP",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC1","10:34",0,0,1,72,"YRWA",1,"a",NA,"audio files","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC1","10:34",0,0,1,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC1","10:34",0,0,1,72,"WTSP",1,"a",NA,"","yes"
2023-07-20,"KL","playback",NA,"RC1","10:34",0,0,1,72,"BTNW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC1","10:34",0,0,1,72,"YRWA",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC1","10:34",0,0,1,72,"HETH",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC1","10:34",0,0,1,72,"WTSP",NA,"a",NA,"",NA
2023-07-20,"BDG","hearing","human","RC10","12:12",0,0,1,74,"HETH",1,"a","o","","yes"
2023-07-20,"BDG","hearing","human","RC10","12:12",0,0,1,74,"BTNW",1,"a","u","","yes"
2023-07-20,"BDG","hearing","human","RC10","12:12",0,0,1,74,"REVI",1,"a","o","","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC10","12:12",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC10","12:12",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC10","12:12",0,0,1,74,"REVI",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC10","12:12",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"EDH","merlin","iPhone SE","RC10","12:12",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC10","12:12",0,0,1,74,"BTNW",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC10","12:12",0,0,1,74,"HETH",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC10","12:12",0,0,1,74,"BCCH",1,"a",NA,"","no"
2023-07-20,"KL","playback",NA,"RC10","12:12",0,0,1,74,"BTNW",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC10","12:12",0,0,1,74,"HETH",NA,"a",NA,"",NA
2023-07-20,"KL","playback",NA,"RC10","12:12",0,0,1,74,"REVI",NA,"a",NA,"",NA
2023-07-20,"BDG","hearing","human","RC2","10:46",0,0,1,72,"YRWA",1,"a",NA,"","yes"
2023-07-20,"BDG","hearing","human","RC2","10:46",0,0,1,72,"BTNW",1,"a",NA,"","yes"
2023-07-20,"BDG","hearing","human","RC2","10:46",0,0,1,72,"REVI",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC2","10:46",0,0,1,72,"YRWA",1,"a",NA,"","yes"
2023-07-20,"ZHK","merlin","iPhone 14","RC2","10:46",0,0,1,72,"DEJU",1,"a",NA,"","no"
2023-07-20,"EDH","merlin","iPhone SE","RC2","10:46",0,0,1,72,"YRWA",1,"a",NA,"","yes"
2023-07-20,"EJD","merlin","iPhone 12 Pro","RC2","10:46",0,0,1,72,"YRWA",1,"a",NA,"","yes"
